0 1 1
0.0625 1.06449 1.06449
0.125 1.13315 1.13315
0.1875 1.20623 1.20623
0.25 1.28403 1.28403
0.3125 1.36684 1.36684
0.375 1.45499 1.45499
0.4375 1.54883 1.54883
0.5 1.64872 1.64872
0.5625 1.75505 1.75505
0.625 1.86825 1.86825
0.6875 1.98874 1.98874
0.75 2.117 2.117
0.8125 2.25353 2.25353
0.875 2.39888 2.39888
0.9375 2.55359 2.55359
1 2.71828 2.71828
1.0625 2.8936 2.8936
1.125 3.08022 3.08022
1.1875 3.27887 3.27887
1.25 3.49034 3.49034
1.3125 3.71545 3.71545
1.375 3.95508 3.95508
1.4375 4.21016 4.21016
1.5 4.48169 4.48169
1.5625 4.77073 4.77073
1.625 5.07842 5.07842
1.6875 5.40595 5.40595
1.75 5.7546 5.7546
1.8125 6.12574 6.12574
1.875 6.52082 6.52082
1.9375 6.94137 6.94138
2 7.38905 7.38906
